house_id,timestamp,washing_machine_mean,washing_machine_max,washing_machine_min,washing_machine_std,is_on_sum,is_on_mean,P_agg_mean,P_agg_max,external_temperature_mean,internal_temperature_mean,external_humidity_mean,internal_humidity_mean,V_mean,A_mean,hour,day_of_week,is_weekend,month,season,time_period,lag_1,lag_2,lag_3,lag_6,lag_12,lag_24,rolling_mean_6h,rolling_std_6h,rolling_mean_24h,diff_1h,diff_24h
5,2023-08-02 13:00:00,57.24336235955056,717.295,2.819,80.5727479289396,120,0.33707865168539325,2090.68664255618,5142.286,28.562148876404493,27.11004213483146,69.37851123595506,50.431179775280896,238.80821629213486,10.207620084269664,13,2,0,8,2,2,202.76311786786786,0.0,0.0,41.15676666666666,0.0,0.0,44.23715411197716,80.82546369273075,53.98359797064568,-145.5197555083173,57.24336235955056
5,2023-08-02 14:00:00,119.05571720116617,1982.391,0.0,307.5164960097186,127,0.37026239067055394,880.1505422740524,2146.143,28.426239067055395,26.914723032069972,70.36880466472303,50.778425655976676,237.41918221574346,4.918790087463557,14,2,0,8,2,2,57.24336235955056,202.76311786786786,0.0,3.4079694444444444,0.0,0.0,63.51177873809744,82.90416882277164,58.9442528540276,61.812354841615615,119.05571720116617
5,2023-08-02 15:00:00,106.88146468926554,2047.015,6.008,130.8444949662169,222,0.6271186440677966,498.8540847457627,2299.357,28.224293785310735,28.605084745762714,71.75706214689265,61.139830508474574,238.408209039548,3.4600155367231635,15,2,0,8,2,2,119.05571720116617,57.24336235955056,202.76311786786786,2.0084750000000002,0.0,0.0,80.99061035297504,78.26969017703843,63.39764721608034,-12.174252511900633,106.88146468926554
5,2023-08-02 16:00:00,4.282151558073655,72.808,2.709,6.789938138220182,4,0.0113314447592068,226.65848866855526,338.331,27.947025495750704,29.591218130311617,73.76487252124646,62.57365439093484,236.58236827195466,1.2164235127478753,16,2,0,8,2,2,106.88146468926554,119.05571720116617,57.24336235955056,0.0,0.0,0.0,81.70430227932066,77.39815831193297,63.57607019766673,-102.59931313119189,4.282151558073655
5,2023-08-02 17:00:00,3.4143402777777774,4.254,2.496,0.2837531959790673,0,0.0,215.48569027777776,248.629,27.55,29.5125,75.75,64.5625,237.88012638888887,1.157179861111111,17,2,0,8,2,2,4.282151558073655,106.88146468926554,119.05571720116617,0.0,196.07318384401114,71.81184831460673,82.2733589922836,76.68657866457757,60.72617402946553,-0.8678112802958773,-68.39750803682895
5,2023-08-02 18:00:00,3.2216055555555556,224.836,0.0,20.040980283031548,4,0.011111111111111112,727.3554791666667,2649.671,27.225,29.5,77.75,63.625,237.69836388888888,3.4402444444444447,18,2,0,8,2,2,3.4143402777777774,4.282151558073655,106.88146468926554,202.76311786786786,698.533897632312,19.991087110481587,49.01644027356489,53.85056844256376,60.02744563134362,-0.19273472222222177,-16.76948155492603
5,2023-08-02 19:00:00,124.76696927374302,230.651,5.758,88.1282980252966,233,0.6508379888268156,507.8555377094972,1684.469,27.025279329608935,29.387918994413408,79.37360335195531,62.62639664804469,236.44750395716946,4.162180865921788,19,2,0,8,2,3,3.2216055555555556,3.4143402777777774,4.282151558073655,57.24336235955056,41.15676666666666,2.6166430555555555,60.27037475926364,62.305654247883126,65.11704255710143,121.54536371818746,122.15032621818746
5,2023-08-02 20:00:00,57.37422083333333,448.595,2.68,62.77230805597827,144,0.4,245.25912847222224,578.765,26.825,29.1625,80.375,61.625,235.06964999999997,1.8480597222222224,20,2,0,8,2,3,124.76696927374302,3.2216055555555556,3.4143402777777774,119.05571720116617,3.4079694444444444,0.0,49.99012536462484,55.36884107896585,67.50763509182364,-67.39274844040969,57.37422083333333
5,2023-08-02 21:00:00,2.6130395833333333,4.039,0.0,1.4490060477644815,0,0.0,204.66585347222224,2253.2345,26.625,28.9875,81.375,61.0,237.41108194444445,1.2422736111111112,21,2,0,8,2,3,57.37422083333333,124.76696927374302,3.2216055555555556,106.88146468926554,2.0084750000000002,0.0,32.61205451363613,50.04902096965216,67.6165117411292,-54.76118125,2.6130395833333333
5,2023-08-02 22:00:00,0.0,0.0,0.0,0.0,0,0.0,479.2839392458101,2253.53,26.387290502793295,28.762430167597767,82.75139664804469,61.0,247.74075837988826,2.6959601955307266,22,2,0,8,2,3,2.6130395833333333,57.37422083333333,124.76696927374302,4.282151558073655,0.0,0.0,31.89836258729052,50.561703019652754,67.6165117411292,-2.6130395833333333,0.0
5,2023-08-02 23:00:00,0.0,0.0,0.0,0.0,0,0.0,1826.2763479166667,5432.024,26.05,28.625,84.75,60.625,236.36895555555554,8.387852777777777,23,2,0,8,2,3,0.0,2.6130395833333333,57.37422083333333,3.4143402777777774,0.0,0.0,31.32930587432756,50.96401106036265,67.6165117411292,0.0,0.0
5,2023-08-03 10:00:00,0.0,0.0,0.0,0.0,0,0.0,1683.8022830330328,5045.195,27.981081081081083,30.3277027027027,70.5945945945946,64.62162162162163,238.9899069069069,7.499700450450451,10,3,0,8,2,1,0.0,0.0,0.0,0.0,2.6130395833333333,2.0084750000000002,0.0,0.0,28.40066621665277,0.0,-2.0084750000000002
5,2023-08-03 12:00:00,0.0,0.0,0.0,0.0,0,0.0,378.0364169014084,2225.046,28.436971830985915,29.333802816901407,69.0,59.95774647887324,243.6011690140845,1.9553070422535213,12,3,0,8,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.40066621665277,0.0,0.0
5,2023-08-03 15:00:00,0.0,0.0,0.0,0.0,0,0.0,539.0710764872521,2303.141,28.08803116147309,29.562322946175637,71.74645892351275,61.24645892351275,239.05484135977335,2.7122195467422094,15,3,0,8,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.40066621665277,0.0,0.0
5,2023-08-03 16:00:00,103.89431845238096,2068.6305,0.0,251.84662938669345,128,0.38095238095238093,503.67467782738095,2293.92275,27.790848214285717,29.72276785714286,73.72767857142857,62.613839285714285,238.37418601190478,3.46240625,16,3,0,8,2,2,0.0,0.0,0.0,0.0,0.0,202.76311786786786,17.31571974206351,42.4146778970927,24.281132907674152,103.89431845238096,-98.8687994154869
5,2023-08-10 12:00:00,3.3472944444444446,4.097,2.616,0.24146757317831818,0,0.0,126.76357777777777,231.584,26.8625,29.225,59.375,42.75,236.75878055555557,0.6847708333333333,12,3,0,8,2,1,103.89431845238096,0.0,0.0,0.0,0.0,57.24336235955056,17.87360214947092,42.16263716609086,22.0354634112114,-100.54702400793651,-53.896067915106116
